instance,solver,perturbation_scheme,replication,distance,processing_time
eil51.tsp,solve_tsp_simulated_annealing,ps1,0,1090,3.2779571413993835
eil51.tsp,solve_tsp_local_search,ps1,0,1178,0.011394202709197998
eil51.tsp,solve_tsp_simulated_annealing,ps2,0,577,3.8469055965542793
eil51.tsp,solve_tsp_local_search,ps2,0,553,0.5312614291906357
eil51.tsp,solve_tsp_simulated_annealing,ps3,0,448,5.60374815762043
eil51.tsp,solve_tsp_local_search,ps3,0,467,0.993856891989708
eil51.tsp,solve_tsp_simulated_annealing,ps4,0,458,7.982734173536301
eil51.tsp,solve_tsp_local_search,ps4,0,444,7.062428690493107
eil51.tsp,solve_tsp_simulated_annealing,ps5,0,454,3.203940488398075
eil51.tsp,solve_tsp_local_search,ps5,0,439,0.3715057298541069
eil51.tsp,solve_tsp_simulated_annealing,ps6,0,484,5.542619958519936
eil51.tsp,solve_tsp_local_search,ps6,0,423,9.218684554100037
eil51.tsp,solve_tsp_simulated_annealing,two_opt,0,450,2.72545824944973
eil51.tsp,solve_tsp_local_search,two_opt,0,446,0.32574789971113205
kroE100.tsp,solve_tsp_simulated_annealing,ps1,0,112040,22.037670955061913
kroE100.tsp,solve_tsp_local_search,ps1,0,117779,0.040678851306438446
kroE100.tsp,solve_tsp_simulated_annealing,ps2,0,35880,25.489934593439102
kroE100.tsp,solve_tsp_local_search,ps2,0,44494,2.289997026324272
kroE100.tsp,solve_tsp_simulated_annealing,ps3,0,28689,28.1470013782382
kroE100.tsp,solve_tsp_local_search,ps3,0,27964,8.852320313453674
kroE100.tsp,solve_tsp_simulated_annealing,ps4,0,31245,33.88463158905506
kroE100.tsp,solve_tsp_local_search,ps4,0,23172,72.2508177831769
kroE100.tsp,solve_tsp_simulated_annealing,ps5,0,22760,21.77853386104107
kroE100.tsp,solve_tsp_local_search,ps5,0,23429,2.8218930140137672
kroE100.tsp,solve_tsp_simulated_annealing,ps6,0,29485,31.73074661195278
kroE100.tsp,solve_tsp_local_search,ps6,0,22343,108.97600869834423
kroE100.tsp,solve_tsp_simulated_annealing,two_opt,0,24591,13.308976508677006
kroE100.tsp,solve_tsp_local_search,two_opt,0,24393,2.4481855779886246
brd14051.tsp,solve_tsp_simulated_annealing,ps1,0,37454971,303.65226485580206
brd14051.tsp,solve_tsp_local_search,ps1,0,34624622,300.0429285019636
brd14051.tsp,solve_tsp_simulated_annealing,ps2,0,36541303,305.05892395973206
brd14051.tsp,solve_tsp_local_search,ps2,0,34292277,300.0773998722434
brd14051.tsp,solve_tsp_simulated_annealing,ps3,0,37356014,306.46758991479874
brd14051.tsp,solve_tsp_local_search,ps3,0,40712783,300.0415043011308
brd14051.tsp,solve_tsp_simulated_annealing,ps4,0,37911354,308.3518982604146
brd14051.tsp,solve_tsp_local_search,ps4,0,38539505,300.03502517938614
brd14051.tsp,solve_tsp_simulated_annealing,ps5,0,37440998,305.1629171073437
brd14051.tsp,solve_tsp_local_search,ps5,0,35292551,300.03705810010433
brd14051.tsp,solve_tsp_simulated_annealing,ps6,0,37824573,308.39141065627337
brd14051.tsp,solve_tsp_local_search,ps6,0,38189460,300.0345665663481
brd14051.tsp,solve_tsp_simulated_annealing,two_opt,0,37197056,304.9491020068526
brd14051.tsp,solve_tsp_local_search,two_opt,0,35465229,300.0453288331628
gr96.tsp,solve_tsp_simulated_annealing,ps1,0,279372286,21.37242154031992
gr96.tsp,solve_tsp_local_search,ps1,0,293472950,0.04793519526720047
gr96.tsp,solve_tsp_simulated_annealing,ps2,0,86271832,23.060470409691334
gr96.tsp,solve_tsp_local_search,ps2,0,92282769,2.460242874920368
